fold,variant,model,train_kind,use_billing_zip,train_rows,valid_rows,valid_positives,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn
1,with_billing_zip,EasyEnsemble_original,original,True,6748,1688,109,0.16240266963292546,0.6697247706422018,0.09240506329113925,0.5539099526066351,0.6078199534021649,0.6278390108708914,0.09994731431956924,0.10621399287314084,73,717,36,862
1,without_billing_zip,EasyEnsemble_original,original,False,6748,1688,109,0.15301724137931033,0.6513761467889908,0.08669108669108669,0.5343601895734598,0.5888293020202079,0.6210439774331682,0.10770750066490418,0.08736524922864058,71,748,38,831
1,with_billing_zip,BalancedBagging_original,original,True,6748,1688,109,0.16397228637413394,0.6513761467889908,0.09379128137384413,0.5710900473933649,0.6084619809309109,0.6243645089506191,0.1048360448469125,0.10719858713642152,71,686,38,893
1,without_billing_zip,LogisticRegression_SMOTE,resampled,False,6748,1688,109,0.1417910447761194,0.1743119266055046,0.11949685534591195,0.8637440758293838,0.5428241076979391,0.5802389155835479,0.09003270894836131,0.07206432570372744,19,140,90,1439
2,with_billing_zip,EasyEnsemble_original,original,True,6749,1687,109,0.1430274135876043,0.5504587155963303,0.0821917808219178,0.5737996443390634,0.562935314705643,0.5876966546900617,0.0865595441121626,0.06245594060309852,60,670,49,908
2,without_billing_zip,EasyEnsemble_original,original,False,6749,1687,109,0.14035087719298245,0.5137614678899083,0.08127721335268505,0.5933609958506224,0.5563103917396309,0.5762491133824026,0.0778443371308038,0.05632619458021135,56,633,53,945
2,with_billing_zip,BalancedBagging_original,original,True,6749,1687,109,0.14565826330532214,0.47706422018348627,0.0859504132231405,0.6384113811499703,0.5633103103452286,0.5936413530075232,0.08617155631811063,0.06490525623581858,52,553,57,1025
2,without_billing_zip,LogisticRegression_SMOTE,resampled,False,6749,1687,109,0.12218649517684887,0.1743119266055046,0.09405940594059406,0.8381742738589212,0.5291711724282275,0.5555022616016092,0.07534708980220195,0.04417857637033403,19,183,90,1395
3,with_billing_zip,EasyEnsemble_original,original,True,6749,1687,109,0.13063063063063063,0.5321100917431193,0.07445442875481387,0.5423829282750444,0.537601306961547,0.5615312612644039,0.08673287956748907,0.03708412459518189,58,721,51,857
3,without_billing_zip,EasyEnsemble_original,original,False,6749,1687,109,0.13009922822491732,0.5412844036697247,0.07393483709273183,0.5323058684054535,0.5364850408716177,0.5570109649887792,0.08711216562259827,0.03593016859178172,59,739,50,839
3,with_billing_zip,BalancedBagging_original,original,True,6749,1687,109,0.13237063778580024,0.5045871559633027,0.07617728531855955,0.5726141078838174,0.5409501052313346,0.5623684608318509,0.08954812541271857,0.040692981477547706,55,667,54,911
3,without_billing_zip,LogisticRegression_SMOTE,resampled,False,6749,1687,109,0.11912225705329153,0.1743119266055046,0.09047619047619047,0.8334321280379372,0.5266363181823467,0.5911820792781479,0.08754982516211224,0.03967080772826813,19,191,90,1387
4,with_billing_zip,EasyEnsemble_original,original,True,6749,1687,109,0.14705882352941177,0.5963302752293578,0.08387096774193549,0.5530527563722585,0.5731968232927525,0.5838187928047348,0.08382644673427243,0.07221721013750029,65,710,44,868
4,without_billing_zip,EasyEnsemble_original,original,False,6749,1687,109,0.14,0.5779816513761468,0.07964601769911504,0.5411973918197984,0.558319089312915,0.5824409018499785,0.08272148620388375,0.0574599483254207,63,728,46,850
4,with_billing_zip,BalancedBagging_original,original,True,6749,1687,109,0.14987080103359174,0.5321100917431193,0.08721804511278196,0.6099585062240664,0.5737229799653493,0.5809583609492913,0.09146174954635233,0.07417599063068223,58,607,51,971
4,without_billing_zip,LogisticRegression_SMOTE,resampled,False,6749,1687,109,0.15172413793103448,0.2018348623853211,0.12154696132596685,0.8541790160047421,0.5505372030557785,0.6039203032522878,0.1021969806011696,0.08028902300488282,22,159,87,1419
5,with_billing_zip,EasyEnsemble_original,original,True,6749,1687,109,0.13916947250280584,0.5688073394495413,0.0792838874680307,0.5453467694131594,0.5562667875954931,0.5838449552912176,0.09622517524762521,0.05547805143839734,62,720,47,858
5,without_billing_zip,EasyEnsemble_original,original,False,6749,1687,109,0.14081632653061224,0.6330275229357798,0.07921928817451206,0.5008891523414345,0.5623946233183335,0.5792432646132022,0.08720567779093968,0.06138888626795922,69,802,40,776
5,with_billing_zip,BalancedBagging_original,original,True,6749,1687,109,0.13550135501355012,0.45871559633027525,0.0794912559618442,0.6218138707765264,0.5458977221195103,0.5680079301403472,0.08316643510190985,0.04666805701272462,50,579,59,999
5,without_billing_zip,LogisticRegression_SMOTE,resampled,False,6749,1687,109,0.11494252873563218,0.13761467889908258,0.09868421052631579,0.8630705394190872,0.5253979604888316,0.5747142475087499,0.08308290396687541,0.04361336573922479,15,137,94,1441
