case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.01,299940.0,107,1558,2,21,0.981651376146789,0.06426426426426426,0.12063134160090191
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.02,299970.0,107,1557,2,22,0.981651376146789,0.06430288461538461,0.12069937958262832
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.03,300270.0,107,1547,2,32,0.981651376146789,0.06469165659008465,0.12138400453771979
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.04,297390.0,106,1535,3,44,0.9724770642201835,0.06459475929311395,0.12114285714285715
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.05,297600.0,106,1528,3,51,0.9724770642201835,0.06487148102815178,0.12162937464142283
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.06,294600.0,105,1520,4,59,0.963302752293578,0.06461538461538462,0.12110726643598616
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.07,291600.0,104,1512,5,67,0.9541284403669725,0.06435643564356436,0.12057971014492753
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.08,291750.0,104,1507,5,72,0.9541284403669725,0.06455617628801986,0.12093023255813953
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.09,292020.0,104,1498,5,81,0.9541284403669725,0.06491885143570537,0.12156633547632963
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.1,285780.0,102,1490,7,89,0.9357798165137615,0.06407035175879397,0.11992945326278659
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.11,286080.0,102,1480,7,99,0.9357798165137615,0.06447534766118837,0.12063867534003549
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.12,283020.0,101,1474,8,105,0.926605504587156,0.06412698412698413,0.11995249406175772
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.13,283260.0,101,1466,8,113,0.926605504587156,0.06445437141033823,0.12052505966587113
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.14,283440.0,101,1460,8,119,0.926605504587156,0.0647021140294683,0.12095808383233533
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.15,277290.0,99,1449,10,130,0.908256880733945,0.06395348837209303,0.11949305974652988
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.16,277650.0,99,1437,10,142,0.908256880733945,0.064453125,0.12036474164133738
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.17,278190.0,99,1419,10,160,0.908256880733945,0.06521739130434782,0.12169637369391519
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.18,272670.0,97,1387,12,192,0.8899082568807339,0.06536388140161725,0.12178279974890144
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.19,273390.0,97,1363,12,216,0.8899082568807339,0.06643835616438357,0.12364563416188655
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.2,271110.0,96,1331,13,248,0.8807339449541285,0.0672740014015417,0.125
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.21,268860.0,95,1298,14,281,0.8715596330275229,0.0681981335247667,0.12649800266311584
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.22,266550.0,94,1267,15,312,0.8623853211009175,0.06906686260102865,0.12789115646258503
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.23,261360.0,92,1224,17,355,0.8440366972477065,0.06990881458966565,0.12912280701754386
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.24,259500.0,91,1178,18,401,0.8348623853211009,0.07171000788022065,0.1320754716981132
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.25,257280.0,90,1144,19,435,0.8256880733944955,0.07293354943273905,0.1340282948622487
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.26,255210.0,89,1105,20,474,0.8165137614678899,0.0745393634840871,0.13660782808902533
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.27,249930.0,87,1065,22,514,0.7981651376146789,0.07552083333333333,0.1379857256145916
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.28,238350.0,83,1019,26,560,0.7614678899082569,0.07531760435571688,0.1370767960363336
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.29,233220.0,81,974,28,605,0.7431192660550459,0.07677725118483412,0.13917525773195877
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.3,215100.0,75,930,34,649,0.6880733944954128,0.07462686567164178,0.13464991023339318
