variant,model,train_data,selected_threshold,threshold_selection_strategy,min_recall_constraint,validation_recall_constraint_met,unconstrained_selected_threshold,unconstrained_validation_f1,unconstrained_validation_recall,unconstrained_validation_precision,validation_f1,validation_recall,validation_precision,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_pr_auc,validation_average_precision,validation_mcc,validation_tp,validation_fp,validation_fn,validation_tn,test_f1,test_recall,test_precision,test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_average_precision,test_mcc,test_tp,test_fp,test_fn,test_tn
with_billing_zip,BalancedBagging_original,original,0.5,max_f1_with_min_recall_constraint,0.3,True,0.5,0.149439601494396,0.5504587155963303,0.08645533141210375,0.149439601494396,0.5504587155963303,0.08645533141210375,0.5951393005334914,0.5743421588121069,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.07428096770945099,60,634,49,944,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.5787914691943128,0.5826850114170506,0.5726159280929168,0.08709473180015634,0.08709473180015634,0.08203834975923319,64,666,45,913
with_billing_zip,LogisticRegression_SMOTE,resampled,0.46,max_f1_with_min_recall_constraint,0.3,True,0.46,0.16279069767441862,0.3211009174311927,0.10903426791277258,0.16279069767441862,0.3211009174311927,0.10903426791277258,0.7866034380557202,0.5699294194253556,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.08759489589470597,35,286,74,1292,0.1506849315068493,0.30275229357798167,0.10030395136778116,0.7796208530805687,0.5576459377959573,0.5772263248717399,0.08115092747869532,0.08115092747869532,0.07153117204628039,33,296,76,1283
without_billing_zip,BalancedBagging_original,original,0.44,max_f1_with_min_recall_constraint,0.3,True,0.44,0.14729370008873113,0.7614678899082569,0.08153241650294696,0.14729370008873113,0.7614678899082569,0.08153241650294696,0.4303497332542976,0.5844728549668027,0.6053098219788141,0.09716417730826432,0.09716417730826432,0.0849037688114505,83,935,26,643,0.13532513181019332,0.7064220183486238,0.07482993197278912,0.41706161137440756,0.5517543910615823,0.5538489695603419,0.07975915446173493,0.07975915446173493,0.05214721485575989,77,952,32,627
without_billing_zip,CatBoost_original_balanced,original,0.41,max_f1_with_min_recall_constraint,0.3,True,0.41,0.14042126379137412,0.6422018348623854,0.07882882882882883,0.14042126379137412,0.6422018348623854,0.07882882882882883,0.4919976289270895,0.5619120707898746,0.548537226311322,0.08047468532684793,0.08047468532684793,0.06096663171034412,70,818,39,760,0.13221601489757914,0.6513761467889908,0.07357512953367876,0.44786729857819907,0.542597509746617,0.5464380545113328,0.07948722447716397,0.07948722447716397,0.042314159160467615,71,894,38,685
without_billing_zip,CatBoost_native_categorical,native_categorical,0.47,max_f1_with_min_recall_constraint,0.3,True,0.47,0.14157014157014158,0.5045871559633027,0.08233532934131736,0.14157014157014158,0.5045871559633027,0.08233532934131736,0.6046235921754594,0.5580603713910304,0.5593772165439936,0.07640815691337319,0.07640815691337319,0.058371550621656464,55,613,54,965,0.13219094247246022,0.4954128440366973,0.07627118644067797,0.5799763033175356,0.5406133251215786,0.557178216383613,0.0838553886914006,0.0838553886914006,0.04045509177585485,54,654,55,925
with_billing_zip,CatBoost_original_balanced,original,0.34,max_f1_with_min_recall_constraint,0.3,True,0.34,0.13432835820895522,0.7431192660550459,0.07383773928896992,0.13432835820895522,0.7431192660550459,0.07383773928896992,0.3811499703615886,0.5496331438006534,0.5397960488831526,0.072281872488022,0.072281872488022,0.05117280333980448,81,1016,28,562,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.32049763033175355,0.5428444434115193,0.5703354230699956,0.10176795901258434,0.10176795901258434,0.04680303632991696,87,1125,22,454
without_billing_zip,EasyEnsemble_n50_original,original,0.49,max_f1_with_min_recall_constraint,0.3,True,0.49,0.1528046421663443,0.7247706422018348,0.08540540540540541,0.1528046421663443,0.7247706422018348,0.08540540540540541,0.48073503260225253,0.5943244845990163,0.6267107359216753,0.09840129880203631,0.09840129880203631,0.09319075556134163,79,846,30,732,0.1316793893129771,0.6330275229357798,0.07348242811501597,0.4609004739336493,0.5410229444951223,0.5502292125430681,0.08351857234546536,0.08351857234546536,0.04058704509855105,69,870,40,709
with_billing_zip,EasyEnsemble_n50_original,original,0.5,max_f1_with_min_recall_constraint,0.3,True,0.5,0.15508559919436052,0.7064220183486238,0.08710407239819004,0.15508559919436052,0.7064220183486238,0.08710407239819004,0.5026674570243035,0.59750758712108,0.6113882396716317,0.09097551434364079,0.09097551434364079,0.0959955825867652,77,807,32,771,0.13157894736842105,0.5963302752293578,0.07394766780432309,0.49170616113744076,0.5404070628838366,0.5588660806107686,0.08847058465305482,0.08847058465305482,0.03975785036161444,65,814,44,765
with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,max_f1_with_min_recall_constraint,0.3,True,0.35,0.13733228097868982,0.7981651376146789,0.07512953367875648,0.13733228097868982,0.7981651376146789,0.07512953367875648,0.3521043272080617,0.5597289566400391,0.5502959267915489,0.07165950978786043,0.07165950978786043,0.06329939465770991,87,1071,22,507,0.13102951763858892,0.8348623853211009,0.07109375,0.2849526066350711,0.5409270761311015,0.5531255991772751,0.07890938223656993,0.07890938223656993,0.04699048879920189,91,1189,18,390
with_billing_zip,EasyEnsemble_original,original,0.5,max_f1_with_min_recall_constraint,0.3,True,0.5,0.15320041972717732,0.6697247706422018,0.08649289099526067,0.15320041972717732,0.6697247706422018,0.08649289099526067,0.5216360403082395,0.5905658073743328,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.08905862723533284,73,771,36,807,0.1283851554663992,0.5871559633027523,0.07207207207207207,0.48518957345971564,0.5326533458059044,0.5625584651765431,0.08452918413730726,0.08452918413730726,0.032144784669843746,64,824,45,755
